Year	Month	State	Sale_RES	Sale_COM	Sale_IND	Sale_OTH	Sale_ALL
1990	7	NY	3256.96	4259.1	2797.55	1004.16	11317.77
1990	7	OH	3393.68	2927.18	5674.09	372.48	12367.43
1990	7	OK	2124.05	1174.3	1045.45	183.27	4527.07
1990	7	OR	990.05	973.91	1363.3	92	3419.26
1990	7	PA	3026.06	2507.67	3907.1	103.27	9544.09
1990	7	RI	188.18	212.61	104.56	15.2	520.55
1990	7	SC	1949.17	1176.85	2105.7	74.95	5306.66
1990	7	SD	236.93	144.85	145.08	38.5	565.36
1990	7	TN	2843.2	1199.68	3130.17	80.94	7254
1990	7	TX	10024.91	6303.54	7530.38	1019.09	24877.91
1990	7	UT	376.11	416.73	500.42	86.98	1380.24
1990	7	VA	2866.21	2045.76	1409.51	724.41	7045.89
1990	7	VT	130.69	123.16	109.04	2.69	365.58
1990	7	WA	1771.37	1366.97	3466.25	311.27	6915.86
1990	7	WI	1396.72	1148.43	1667.93	58.13	4271.2
1990	7	WV	614.08	448.92	820.16	6.91	1890.07
1990	7	WY	107.59	175.15	512.63	16.85	812.21
1990	8	AK	112	156.93	38.25	11.31	318.49
1990	8	AL	2332.54	1138.96	2522.26	50.26	6044.02
1990	8	AR	1149.89	607.37	944.54	60.79	2762.59
1990	8	AZ	1691.96	1335.86	901.06	226.72	4155.6
1990	8	CA	6502.12	7727.05	5063.67	791.86	20084.7
1990	8	CO	733.88	1196.18	565.8	112.04	2607.9
1990	8	CT	923.99	968.82	540.59	29.78	2463.18
1990	8	DC	159.09	476.95	280.35	26.1	942.49
1990	8	DE	265.51	217.25	290.67	4.14	777.57
1990	8	FL	7577.97	4842.13	1437.69	382.84	14240.64
1990	8	GA	3456.88	2329.98	2480.44	74.81	8342.12
1990	8	HI	198.5	199.73	337.65	4.9	740.78
1990	8	IA	985.81	686.75	1003.72	72.66	2748.94
1990	8	ID	367.99	597.33	652.55	60.28	1678.14
1990	8	IL	2958.33	2898.1	3444.18	625.41	9926.03
1990	8	IN	2043.83	1464.92	3113.41	49.91	6672.07
1990	8	KS	1027.76	897.53	725.47	38.78	2689.54
1990	8	KY	1678.58	900.85	2573.99	226.2	5379.62
1990	8	LA	2481	1320.42	2255.22	233.38	6290.02
1990	8	MA	1295.62	1718.23	884.63	91.2	3989.68
1990	8	MD	1878.7	1001.06	1760.65	56.02	4696.42
1990	8	ME	296.54	239.64	416.98	13.99	967.14
1990	8	MI	2205.74	1885.67	3212.91	120.72	7425.04
1990	8	MN	1212.34	731.15	2040.48	91.38	4075.35
1990	8	MO	2208.66	1809.34	1162.62	79.89	5260.52
1990	8	MS	1381.91	683.52	1149.99	58.26	3273.68
1990	8	MT	227.51	236.4	565.65	46.03	1075.6
1990	8	NC	3364.04	2297.74	2913.74	165.24	8740.76
1990	8	ND	192.09	144.56	139.95	46.86	523.47
1990	8	NE	664.98	506.54	453.85	179.02	1804.4
1990	8	NH	271.86	186.84	287.7	8.6	755
1990	8	NJ	2291.84	2525.81	1331.86	36.73	6186.24
1990	8	NM	287.83	408.61	382.18	123.63	1202.25
1990	8	NV	616.37	404.64	584.73	76.68	1682.41
1990	8	NY	3536.97	4351.08	2876.14	982.79	11746.98
1990	8	OH	3261.15	2905.77	6057.83	391.76	12616.52
1990	8	OK	1872.59	1163.61	1056.14	200.46	4292.81
1990	8	OR	930.11	981.03	1381.92	91.55	3384.61
1990	8	PA	3166.7	2586.19	4069.28	114.3	9936.47
1990	8	RI	209.83	230.39	115.85	16.34	572.41
1990	8	SC	1930.59	1179.59	2245.74	70.05	5425.97
1990	8	SD	216.3	157.82	152.02	48.47	574.61
