Income,Year,Month,State
100082.7,1990,6,WA
91269.1,1990,6,WI
26416.4,1990,6,WV
8300.0,1990,6,WY
13147.6,1990,7,AK
65350.6,1990,7,AL
35001.7,1990,7,AR
64693.0,1990,7,AZ
655471.6,1990,7,CA
66730.9,1990,7,CO
87449.6,1990,7,CT
16082.9,1990,7,DC
14508.1,1990,7,DE
260644.0,1990,7,FL
117520.9,1990,7,GA
25810.2,1990,7,HI
49579.9,1990,7,IA
16584.3,1990,7,ID
244889.9,1990,7,IL
99976.5,1990,7,IN
46351.0,1990,7,KS
58748.9,1990,7,KY
66364.9,1990,7,LA
139537.7,1990,7,MA
112151.4,1990,7,MD
21895.7,1990,7,ME
178924.6,1990,7,MI
88314.3,1990,7,MN
93160.7,1990,7,MO
35007.7,1990,7,MS
12553.9,1990,7,MT
1.45,1990,7,NC
10351.7,1990,7,ND
29701.0,1990,7,NE
22960.9,1990,7,NH
193963.8,1990,7,NJ
23827.8,1990,7,NM
25652.6,1990,7,NV
434202.0,1990,7,NY
205412.8,1990,7,OH
51975.4,1990,7,OK
52816.5,1990,7,OR
236432.7,1990,7,PA
20406.8,1990,7,RI
57229.2,1990,7,SC
11660.5,1990,7,SD
83039.8,1990,7,TN
302959.3,1990,7,TX
26599.9,1990,7,UT
130921.1,1990,7,VA
10296.8,1990,7,VT
101547.6,1990,7,WA
91752.2,1990,7,WI
26594.0,1990,7,WV
8352.1,1990,7,WY
13147.6,1990,8,AK
65350.6,1990,8,AL
35001.7,1990,8,AR
64693.0,1990,8,AZ
655471.6,1990,8,CA
66730.9,1990,8,CO
87449.6,1990,8,CT
16082.9,1990,8,DC
14508.1,1990,8,DE
260644.0,1990,8,FL
117520.9,1990,8,GA
25810.2,1990,8,HI
49579.9,1990,8,IA
16584.3,1990,8,ID
244889.9,1990,8,IL
99976.5,1990,8,IN
46351.0,1990,8,KS
58748.9,1990,8,KY
66364.9,1990,8,LA
139537.7,1990,8,MA
112151.4,1990,8,MD
21895.7,1990,8,ME
178924.6,1990,8,MI
88314.3,1990,8,MN
93160.7,1990,8,MO
35007.7,1990,8,MS
12553.9,1990,8,MT
1.45,1990,8,NC
10351.7,1990,8,ND
29701.0,1990,8,NE
22960.9,1990,8,NH
193963.8,1990,8,NJ
23827.8,1990,8,NM
25652.6,1990,8,NV
434202.0,1990,8,NY
205412.8,1990,8,OH
51975.4,1990,8,OK
52816.5,1990,8,OR
236432.7,1990,8,PA
20406.8,1990,8,RI
57229.2,1990,8,SC
11660.5,1990,8,SD
83039.8,1990,8,TN
302959.3,1990,8,TX
26599.9,1990,8,UT
130921.1,1990,8,VA
10296.8,1990,8,VT
101547.6,1990,8,WA
91752.2,1990,8,WI
26594.0,1990,8,WV
8352.1,1990,8,WY
13147.6,1990,9,AK
65350.6,1990,9,AL
35001.7,1990,9,AR
64693.0,1990,9,AZ
655471.6,1990,9,CA
66730.9,1990,9,CO
87449.6,1990,9,CT
16082.9,1990,9,DC
14508.1,1990,9,DE
260644.0,1990,9,FL
117520.9,1990,9,GA
25810.2,1990,9,HI
49579.9,1990,9,IA
16584.3,1990,9,ID
244889.9,1990,9,IL
99976.5,1990,9,IN
46351.0,1990,9,KS
58748.9,1990,9,KY
66364.9,1990,9,LA
139537.7,1990,9,MA
112151.4,1990,9,MD
21895.7,1990,9,ME
178924.6,1990,9,MI
88314.3,1990,9,MN
93160.7,1990,9,MO
35007.7,1990,9,MS
12553.9,1990,9,MT
1.45,1990,9,NC
10351.7,1990,9,ND
29701.0,1990,9,NE
22960.9,1990,9,NH
193963.8,1990,9,NJ
23827.8,1990,9,NM
25652.6,1990,9,NV
434202.0,1990,9,NY
205412.8,1990,9,OH
51975.4,1990,9,OK
52816.5,1990,9,OR
236432.7,1990,9,PA
20406.8,1990,9,RI
57229.2,1990,9,SC
11660.5,1990,9,SD
83039.8,1990,9,TN
302959.3,1990,9,TX
26599.9,1990,9,UT
130921.1,1990,9,VA
10296.8,1990,9,VT
101547.6,1990,9,WA
91752.2,1990,9,WI
26594.0,1990,9,WV
