Year,Month,State,RES,COM,IND,TRA,OTH,ALL
1990,6,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,7,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,8,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,9,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,10,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,11,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,12,NE,"649,256","104,898","5,458",,"39,855","799,467"
1990,1,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,2,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,3,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,4,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,5,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,6,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,7,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,8,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,9,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,10,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,11,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,12,NH,"485,545","72,114","1,627",,"5,107","564,393"
1990,1,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,2,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,3,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,4,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,5,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,6,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,7,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,8,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,9,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,10,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,11,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,12,NJ,"2,898,533","386,093","12,124",,"9,109","3,305,859"
1990,1,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,2,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,3,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,4,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,5,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,6,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,7,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,8,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,9,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,10,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,11,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,12,NM,"575,602","84,555","4,964",,"10,041","675,162"
1990,1,NV,"487,491","72,146",785,,"1,693","562,115"
1990,2,NV,"487,491","72,146",785,,"1,693","562,115"
1990,3,NV,"487,491","72,146",785,,"1,693","562,115"
1990,4,NV,"487,491","72,146",785,,"1,693","562,115"
1990,5,NV,"487,491","72,146",785,,"1,693","562,115"
1990,6,NV,"487,491","72,146",785,,"1,693","562,115"
1990,7,NV,"487,491","72,146",785,,"1,693","562,115"
1990,8,NV,"487,491","72,146",785,,"1,693","562,115"
